country,datetime,demand,ramp,absolute_ramp
Spain,2024-05-10 22:30:00,28903.0,-177.0,177.0
Spain,2024-05-10 22:35:00,28687.0,-216.0,216.0
Spain,2024-05-10 22:40:00,28414.0,-273.0,273.0
Spain,2024-05-10 22:45:00,28154.0,-260.0,260.0
Spain,2024-05-10 22:50:00,28153.0,-1.0,1.0
Spain,2024-05-10 22:55:00,27988.0,-165.0,165.0
Spain,2024-05-10 23:00:00,27660.0,-328.0,328.0
Spain,2024-05-10 23:05:00,27474.0,-186.0,186.0
Spain,2024-05-10 23:10:00,27283.0,-191.0,191.0
Spain,2024-05-10 23:15:00,27014.0,-269.0,269.0
Spain,2024-05-10 23:20:00,26871.0,-143.0,143.0
Spain,2024-05-10 23:25:00,26740.0,-131.0,131.0
Spain,2024-05-10 23:30:00,26377.0,-363.0,363.0
Spain,2024-05-10 23:35:00,26365.0,-12.0,12.0
Spain,2024-05-10 23:40:00,26106.0,-259.0,259.0
Spain,2024-05-10 23:45:00,25909.0,-197.0,197.0
Spain,2024-05-10 23:50:00,25883.0,-26.0,26.0
Spain,2024-05-10 23:55:00,25850.0,-33.0,33.0
Spain,2024-05-11 00:00:00,25400.0,-450.0,450.0
Spain,2024-05-11 00:05:00,25659.0,259.0,259.0
Spain,2024-05-11 00:10:00,25774.0,115.0,115.0
Spain,2024-05-11 00:15:00,25797.0,23.0,23.0
Spain,2024-05-11 00:20:00,25653.0,-144.0,144.0
Spain,2024-05-11 00:25:00,25313.0,-340.0,340.0
Spain,2024-05-11 00:30:00,25050.0,-263.0,263.0
Spain,2024-05-11 00:35:00,24999.0,-51.0,51.0
Spain,2024-05-11 00:40:00,25038.0,39.0,39.0
Spain,2024-05-11 00:45:00,24858.0,-180.0,180.0
Spain,2024-05-11 00:50:00,24799.0,-59.0,59.0
Spain,2024-05-11 00:55:00,24628.0,-171.0,171.0
Spain,2024-05-11 01:00:00,24440.0,-188.0,188.0
Spain,2024-05-11 01:05:00,24299.0,-141.0,141.0
Spain,2024-05-11 01:10:00,24297.0,-2.0,2.0
Spain,2024-05-11 01:15:00,24091.0,-206.0,206.0
Spain,2024-05-11 01:20:00,23924.0,-167.0,167.0
Spain,2024-05-11 01:25:00,23820.0,-104.0,104.0
Spain,2024-05-11 01:30:00,23773.0,-47.0,47.0
Spain,2024-05-11 01:35:00,23591.0,-182.0,182.0
Spain,2024-05-11 01:40:00,23607.0,16.0,16.0
Spain,2024-05-11 01:45:00,23388.0,-219.0,219.0
Spain,2024-05-11 01:50:00,23258.0,-130.0,130.0
Spain,2024-05-11 01:55:00,23185.0,-73.0,73.0
Spain,2024-05-11 02:00:00,23151.0,-34.0,34.0
Spain,2024-05-11 02:05:00,22975.0,-176.0,176.0
Spain,2024-05-11 02:10:00,22804.0,-171.0,171.0
Spain,2024-05-11 02:15:00,22800.0,-4.0,4.0
Spain,2024-05-11 02:20:00,22777.0,-23.0,23.0
Spain,2024-05-11 02:25:00,22668.0,-109.0,109.0
Spain,2024-05-11 02:30:00,22610.0,-58.0,58.0
Spain,2024-05-11 02:35:00,22455.0,-155.0,155.0
Spain,2024-05-11 02:40:00,22218.0,-237.0,237.0
Spain,2024-05-11 02:45:00,22111.0,-107.0,107.0
Spain,2024-05-11 02:50:00,22333.0,222.0,222.0
Spain,2024-05-11 02:55:00,22082.0,-251.0,251.0
Spain,2024-05-11 03:00:00,21997.0,-85.0,85.0
Spain,2024-05-10 21:00:00,29808.0,7811.0,7811.0
Spain,2024-05-10 21:05:00,30054.0,246.0,246.0
Spain,2024-05-10 21:10:00,30131.0,77.0,77.0
Spain,2024-05-10 21:15:00,30179.0,48.0,48.0
Spain,2024-05-10 21:20:00,30495.0,316.0,316.0
Spain,2024-05-10 21:25:00,30683.0,188.0,188.0
Spain,2024-05-10 21:30:00,30602.0,-81.0,81.0
Spain,2024-05-10 21:35:00,30709.0,107.0,107.0
Spain,2024-05-10 21:40:00,30722.0,13.0,13.0
Spain,2024-05-10 21:45:00,30613.0,-109.0,109.0
Spain,2024-05-10 21:50:00,30400.0,-213.0,213.0
Spain,2024-05-10 21:55:00,30288.0,-112.0,112.0
Spain,2024-05-10 22:00:00,30157.0,-131.0,131.0
Spain,2024-05-10 22:05:00,29889.0,-268.0,268.0
Spain,2024-05-10 22:10:00,29749.0,-140.0,140.0
Spain,2024-05-10 22:15:00,29552.0,-197.0,197.0
Spain,2024-05-10 22:20:00,29205.0,-347.0,347.0
Spain,2024-05-10 22:25:00,29080.0,-125.0,125.0
Spain,2024-05-10 22:30:00,28903.0,-177.0,177.0
Spain,2024-05-10 22:35:00,28687.0,-216.0,216.0
Spain,2024-05-10 22:40:00,28414.0,-273.0,273.0
Spain,2024-05-10 22:45:00,28154.0,-260.0,260.0
Spain,2024-05-10 22:50:00,28153.0,-1.0,1.0
Spain,2024-05-10 22:55:00,27988.0,-165.0,165.0
Spain,2024-05-10 23:00:00,27660.0,-328.0,328.0
Spain,2024-05-10 23:05:00,27474.0,-186.0,186.0
Spain,2024-05-10 23:10:00,27283.0,-191.0,191.0
Spain,2024-05-10 23:15:00,27014.0,-269.0,269.0
Spain,2024-05-10 23:20:00,26871.0,-143.0,143.0
Spain,2024-05-10 23:25:00,26740.0,-131.0,131.0
Spain,2024-05-10 23:30:00,26377.0,-363.0,363.0
Spain,2024-05-10 23:35:00,26365.0,-12.0,12.0
Spain,2024-05-10 23:40:00,26106.0,-259.0,259.0
Spain,2024-05-10 23:45:00,25909.0,-197.0,197.0
Spain,2024-05-10 23:50:00,25883.0,-26.0,26.0
Spain,2024-05-10 23:55:00,25850.0,-33.0,33.0
Spain,2024-05-11 00:00:00,25400.0,-450.0,450.0
Spain,2024-05-11 00:05:00,25659.0,259.0,259.0
Spain,2024-05-11 00:10:00,25774.0,115.0,115.0
Spain,2024-05-11 00:15:00,25797.0,23.0,23.0
Spain,2024-05-11 00:20:00,25653.0,-144.0,144.0
Spain,2024-05-11 00:25:00,25313.0,-340.0,340.0
Spain,2024-05-11 00:30:00,25050.0,-263.0,263.0
Spain,2024-05-11 00:35:00,24999.0,-51.0,51.0
Spain,2024-05-11 00:40:00,25038.0,39.0,39.0
Spain,2024-05-11 00:45:00,24858.0,-180.0,180.0
Spain,2024-05-11 00:50:00,24799.0,-59.0,59.0
Spain,2024-05-11 00:55:00,24628.0,-171.0,171.0
Spain,2024-05-11 01:00:00,24440.0,-188.0,188.0
Spain,2024-05-11 01:05:00,24299.0,-141.0,141.0
Spain,2024-05-11 01:10:00,24297.0,-2.0,2.0
Spain,2024-05-11 01:15:00,24091.0,-206.0,206.0
Spain,2024-05-11 01:20:00,23924.0,-167.0,167.0
Spain,2024-05-11 01:25:00,23820.0,-104.0,104.0
Spain,2024-05-11 01:30:00,23773.0,-47.0,47.0
Spain,2024-05-11 01:35:00,23591.0,-182.0,182.0
Spain,2024-05-11 01:40:00,23607.0,16.0,16.0
Spain,2024-05-11 01:45:00,23388.0,-219.0,219.0
Spain,2024-05-11 01:50:00,23258.0,-130.0,130.0
Spain,2024-05-11 01:55:00,23185.0,-73.0,73.0
Spain,2024-05-11 02:00:00,23151.0,-34.0,34.0
