elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
53.0,2008-01-01,2024-01-01,41.185,"VINEBRE, SP",0.8817,GHCND:SPE00156657,METERS,0.5933
158.0,2016-01-01,2024-01-01,42.3419,"PANTA DE DARNIUS BOADELLA, SP",0.7771,GHCND:SPE00173105,METERS,2.8342
1213.0,2017-01-01,2024-01-01,42.4403,"PUIGCERDA, SP",0.8744,GHCND:SPE00173114,METERS,1.9344
316.0,2016-01-01,2024-01-01,41.0431,"TIVISSA, SP",0.7771,GHCND:SPE00173123,METERS,0.7403
283.0,2018-01-01,2024-01-01,41.5106,"LES BORGES BLANQUES, SP",0.8565,GHCND:SPE00175681,METERS,0.8564
68.6,1973-01-01,2023-01-01,39.489,"VALENCIA, SP",0.5487,GHCND:SPM00008284,METERS,-0.482
82.0,2020-01-01,2021-01-01,38.367,"ALICANTE, SP",0.9986,GHCND:SPM00008359,METERS,-0.5
43.3,1973-01-01,2023-01-01,38.282,"ALICANTE, SP",0.5095,GHCND:SPM00008360,METERS,-0.558
86.9,1958-01-01,2021-01-01,37.174917,"MORON DE LA FRONTERA, SP",0.3436,GHCND:SPW00013024,METERS,-5.615944
25.6,1958-01-01,2002-01-01,36.65,"ROTA NAS, SP",0.9327,GHCND:SPW00013025,METERS,-6.35
263.0,1957-01-01,2023-01-01,41.666242,"ZARAGOZA, SP",0.4773,GHCND:SPW00014010,METERS,-1.041553
617.5,1957-01-01,1967-01-01,40.496747,"TORREJON, SP",0.9995,GHCND:SPW00014011,METERS,-3.445872
